UpstreamRegulators,Abbre,Pvalue,Zscore
interferon alpha,P_3,13.93889804,3.277
IL21,P_3,9.352647122,1.991
IL18,P_3,7.769224514,0.889
IL2,P_3,12.27957495,1.083
TNF,P_3,13.27850461,-0.618
TBX21,P_3,7.077549584,1.98
STING1,P_3,10.86218649,2.659
STAT3,P_3,16.64120268,-3.573
IL15,P_3,7.043240726,0.991
IFNG,P_7,17.65225267,-1.409
STAT1,P_7,7.980039811,0.06
interferon alpha,P_7,12.08908758,0.704
IL21,P_7,10.47198518,1.228
IL18,P_7,9.501815385,0.459
IL2,P_7,17.31774865,1.409
TNF,P_7,21.32627354,-2.931
TBX21,P_7,8.637102904,2.305
STING1,P_7,2.813164378,-0.492
STAT3,P_7,10.50384142,-3.831
IL15,P_7,9.883472824,1.349
IFNG,P_14,3.505330903,2.929
STAT1,P_14,4.867883897,3.123
interferon alpha,P_14,3.10116808,1.73
IL21,P_14,3.976895816,2.355
IL18,P_14,4.682946162,2.019
IL2,P_14,5.396130631,2.109
TNF,P_14,4.569292633,0.203
TBX21,P_14,7.443021502,1.709
STING1,P_14,2.100635463,1.914
STAT3,P_14,6.491511974,0.161
IL15,P_14,4.386184183,1.985
IFNG,P_98,0,0
STAT1,P_98,0,0
interferon alpha,P_98,0,0
IL21,P_98,0,0
IL18,P_98,0,0
IL2,P_98,0,0
TNF,P_98,1.413235962,-1.203
TBX21,P_98,0,0
STING1,P_98,0,0
STAT3,P_98,0,0
IL15,P_98,0,0
IFNG,P_101,16.92329249,4.092
STAT1,P_101,19.48959486,3.91
interferon alpha,P_101,17.23730685,3.448
IL21,P_101,9.665037735,2.323
IL18,P_101,8.998632399,1.19
IL2,P_101,9.393120858,1.694
TNF,P_101,16.8306672,-0.109
TBX21,P_101,6.652861946,1.761
STING1,P_101,15.85074296,3.607
STAT3,P_101,14.99884541,-2.617
IL15,P_101,7.851055545,1.312
IFNG,P_105,5.419072234,1.892
STAT1,P_105,2.868126154,1.584
interferon alpha,P_105,3.017783043,1.102
IL21,P_105,7.87840753,2.719
IL18,P_105,6.378964392,2.402
IL2,P_105,5.938170787,2.511
TNF,P_105,5.63146362,-0.735
TBX21,P_105,11.06999389,1.888
STING1,P_105,1.55639488,2
STAT3,P_105,3.79060077,0.631
IL15,P_105,4.978870161,1.87
IFNG,P_112,0,0
STAT1,P_112,0,0
interferon alpha,P_112,0,0
IL21,P_112,0,0
IL18,P_112,0,0
IL2,P_112,0,0
TNF,P_112,1.870202852,0.764
TBX21,P_112,0,0
STING1,P_112,0,0
STAT3,P_112,1.775039925,0
IL15,P_112,0,0
IFNG,P_560,2.781902896,1.146
STAT1,P_560,3.894113164,2.345
interferon alpha,P_560,2.348514109,2
IL21,P_560,2.927784267,2.141
IL18,P_560,3.588397132,1.775
IL2,P_560,2.660688051,1.363
TNF,P_560,3.30005217,-1.022
TBX21,P_560,6.017630634,1.264
STING1,P_560,0,0
STAT3,P_560,4.145582037,-0.611
IL15,P_560,2.208705205,1.057
IFNG,P_743,5.57887421,1.29
STAT1,P_743,5.663974041,2.55
interferon alpha,P_743,2.468193896,1.722
IL21,P_743,3.015789129,2.141
IL18,P_743,5.681072124,2.268
IL2,P_743,3.384414763,1.363
TNF,P_743,3.577395344,-0.3
TBX21,P_743,7.411260908,1.524
STING1,P_743,0,0
STAT3,P_743,5.013111097,-0.343
IL15,P_743,2.314985026,1.295
IFNG,P_746,26.64212249,6.359
STAT1,P_746,31.0925941,5.42
interferon alpha,P_746,24.02107797,4.954
IL21,P_746,12.50975587,3.306
IL18,P_746,5.417176639,2.404
IL2,P_746,5.938170787,2.16
TNF,P_746,12.27573717,3.969
TBX21,P_746,6.177386018,1.478
STING1,P_746,22.80604025,4.658
STAT3,P_746,22.15012299,-1.777
IL15,P_746,4.978870161,1.384
IFNG,P_750,7.066656881,1.782
STAT1,P_750,3.508872294,2.353
interferon alpha,P_750,4.857874309,2.556
IL21,P_750,10.15424571,2.411
IL18,P_750,9.560582537,2.501
IL2,P_750,10.33312335,2.867
TNF,P_750,6.657259849,-0.735
TBX21,P_750,13.81774018,2.774
STING1,P_750,0,0
STAT3,P_750,8.250330653,0.461
IL15,P_750,6.480153952,2.193
IFNG,P_757,1.615632344,2.692
STAT1,P_757,0,0
interferon alpha,P_757,1.705566197,0
IL21,P_757,0,0
IL18,P_757,1.796599599,0
IL2,P_757,2.369627749,0.937
TNF,P_757,0,0
TBX21,P_757,1.403955617,0
STING1,P_757,0,0
STAT3,P_757,2.826100708,0.57
IL15,P_757,0,0
IFNG,P_1177,3.337248749,1.661
STAT1,P_1177,1.558527809,0.44
interferon alpha,P_1177,1.337180314,0.197
IL21,P_1177,0,0
IL18,P_1177,0,0
IL2,P_1177,1.434835834,0.208
TNF,P_1177,5.94804325,1.786
TBX21,P_1177,0,0
STING1,P_1177,1.41580103,0.655
STAT3,P_1177,3.805560645,0.649
IL15,P_1177,0,0
IFNG,P_1191,1.689006993,1.34
STAT1,P_1191,0,0
interferon alpha,P_1191,0,0
IL21,P_1191,0,0
IL18,P_1191,0,0
IL2,P_1191,0,0
TNF,P_1191,2.109479353,0.286
TBX21,P_1191,0,0
STING1,P_1191,0,0
STAT3,P_1191,2.190090409,-0.508
IL15,P_1191,0,0
IFNG,P_1219,1.505843115,-0.578
STAT1,P_1219,0,0
interferon alpha,P_1219,0,0
IL21,P_1219,0,0
IL18,P_1219,0,0
IL2,P_1219,0,0
TNF,P_1219,2.505916113,-1.501
TBX21,P_1219,0,0
STING1,P_1219,0,0
STAT3,P_1219,2.489586248,0.971
IL15,P_1219,0,0
IL4,T_3,8.514612451,-1.768
IL4,T_7,4.759940442,0.163
IL4,T_14,0,0
IL4,T_98,0,0
IL4,T_101,10.39082277,-1.815
IL4,T_105,2.230414378,-1.45
IL4,T_112,0,0
IL4,T_560,1.409224144,-0.901
IL4,T_743,1.352775367,-0.803
IL4,T_746,8.643496461,-1.016
IL4,T_750,5.96204343,-0.947
IL4,T_757,5.112969709,-1.364
IL4,T_1177,0,0
IL4,T_1191,1.990700812,-0.425
IL4,T_1219,2.554793093,-0.377
IL4,P_3,12.17652089,-1.054
IL4,P_7,14.4779114,-0.99
IL4,P_14,5.21896259,0.808
IL4,P_98,0,0
IL4,P_101,15.37567166,-1.413
IL4,P_105,9.04019202,-0.049
IL4,P_112,0,0
IL4,P_560,2.356298087,-1.047
IL4,P_743,4.573903997,0.423
IL4,P_746,18.08324306,-1.846
IL4,P_750,9.774427737,-0.11
IL4,P_757,2.171119892,0.963
IL4,P_1177,2.939297099,-0.369
IL4,P_1191,0,0
IL4,P_1219,1.859876759,-0.369
