Mixture,B cells naive,B cells memory,Plasma cells,T cells CD8,T cells CD4 naive,T cells CD4 memory resting,T cells CD4 memory activated,T cells follicular helper,T cells regulatory (Tregs),T cells gamma delta,NK cells resting,NK cells activated,Monocytes,Macrophages M0,Macrophages M1,Macrophages M2,Dendritic cells resting,Dendritic cells activated,Mast cells resting,Mast cells activated,Eosinophils,Neutrophils,P-value,Correlation,RMSE
TB6Ag_D101_RM6,0,0.216041417,0.008587478,0.101796665,0.062601605,0.040970872,0.111410927,0,0,0,0.13363843,0,0.108003198,0.028018015,0,0.004683109,0,0,0,0.005119376,0,0.179128908,0,0.429181626,0.904874946
TB6Ag_D101_RM5,0.045683912,0.134965033,0.003369673,0.072914195,0.056512576,0,0.100492564,0,0,0,0.092333214,0,0.235691696,0.074408623,0,9.78E-05,0,0,0,0.040898587,0,0.142632096,0,0.41480003,0.911115245
TB6Ag_D101_RM8,0.052327442,0.111645028,0.003282928,0.081956545,0.202238059,0,0.135605145,0,0.009147984,0,0.13189765,0,0.120977363,0.047187272,0,0,0,0,0,0.026337195,0,0.07739739,0,0.384440835,0.926460859
TB6Ag_D101_RM9,0.077373513,0.059822005,0.002500132,0.083096715,0.213680947,0,0.109403375,0,0,0,0.154916491,0,0.174165688,0.036044805,0,0.008527028,0,0,0,0.009415544,0,0.071053758,0,0.399663038,0.91946063
pp71_D101_RM20,0.037537452,0.069937775,0.001550492,0.099634023,0.10865768,0,0.178048637,0,0,0,0.199478375,0,0.223442505,0.01919275,0,0.001500438,0,0,0,0.006311369,0,0.054708504,0,0.414848738,0.911855137
pp71_D101_RM13,0.036051795,0.12457452,0,0.115765753,0.133386523,0,0.151121221,0,0,0,0.200818161,0,0.104811526,0.019178501,0,0.011001714,0,0,0,0.02011131,0,0.083178977,0,0.350841115,0.946519147
pp71_D101_RM14,0.003415416,0.188385555,0.005145991,0.105725567,0.077910726,0.019513565,0.138691403,0,0,0,0.183898929,0,0.088105968,0.005418119,0,0.024498833,0,0.000687553,0,0.050192779,0,0.108409597,0,0.370106852,0.934261451
pp71_D101_RM15,0.025833718,0.09375153,0.008432488,0.083420994,0.158528135,0.039447373,0.185195281,0,0,0,0.215141652,0,0.065522576,0.016217198,0,0,0,0.000497829,0,0.025933517,0,0.08207771,0,0.303261132,0.973823799
pp71_D101_RM16,0.022065986,0.05733484,0.006594453,0.121065094,0.254375236,0,0.176402012,0,0,0,0.237308536,0,0.089879332,0,0,0.0014051,0.001154221,0.000712536,0,0.00788796,0,0.023814695,0,0.442016155,0.903522416
pp71_D101_RM18,0.031740846,0.157649885,0.002360864,0.073975466,0.14384303,0,0.106040694,0,0,0,0.127756464,0,0.135210102,0.081714156,0,0,0,0,0,0,0,0.139708493,0,0.420842638,0.907958334
